DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
MARTES,16/07/2019,,,212,,,2663
MIÉRCOLES,17/07/2019,,,258,,,3592
JUEVES,18/07/2019,,,231,,,3442
VIERNES,19/07/2019,,,244,,,3238
SÁBADO,20/07/2019,,,206,,,3721
DOMINGO,21/07/2019,,,150,,,2802
LUNES,22/07/2019,,,137,,,1867
MARTES,23/07/2019,,,154,,,2041
MIÉRCOLES,24/07/2019,,,206,,,2770
JUEVES,25/07/2019,,,181,,,2465
VIERNES,26/07/2019,,,234,,,4163
SÁBADO,27/07/2019,,,242,,,4608
DOMINGO,28/07/2019,,,117,,,2285
LUNES,29/07/2019,,,154,,,1956
MARTES,30/07/2019,,,115,,,1539
MIÉRCOLES,31/07/2019,,,163,,,2252
JUEVES,1/08/2019,,,215,,,2873
VIERNES,2/08/2019,,,215,,,3344
SÁBADO,3/08/2019,,,215,,,4015
DOMINGO,4/08/2019,,,164,,,3030
LUNES,5/08/2019,,,173,,,2518
MARTES,6/08/2019,,,192,,,2421
MIÉRCOLES,7/08/2019,,,277,,,3738
JUEVES,8/08/2019,,,269,,,3669
VIERNES,9/08/2019,,,222,,,3170
SÁBADO,10/08/2019,,,228,,,4318
DOMINGO,11/08/2019,,,169,,,3096
LUNES,12/08/2019,,,229,,,3041
MARTES,13/08/2019,,,214,,,2777
MIÉRCOLES,14/08/2019,,,168,,,2245
JUEVES,15/08/2019,,,181,,,3386
VIERNES,16/08/2019,,,241,,,3555
SÁBADO,17/08/2019,,,215,,,3933
DOMINGO,18/08/2019,,,124,,,2237
LUNES,19/08/2019,,,149,,,2218
MARTES,20/08/2019,,,186,,,2429
MIÉRCOLES,21/08/2019,,,238,,,3318
JUEVES,22/08/2019,,,197,,,2591
VIERNES,23/08/2019,,,245,,,3543
SÁBADO,24/08/2019,,,218,,,3983
DOMINGO,25/08/2019,,,131,,,2342
LUNES,26/08/2019,,,187,,,2750
MARTES,27/08/2019,,,258,,,3436
MIÉRCOLES,28/08/2019,,,240,,,3370
JUEVES,29/08/2019,,,193,,,"2595,26"
VIERNES,30/08/2019,,,253,,,"3522,92"
SÁBADO,31/08/2019,,,264,,,"4971,83"
DOMINGO,1/09/2019,,,162,,,2917
LUNES,2/09/2019,,,164,,,2248
MARTES,3/09/2019,,,169,,,2367
MIÉRCOLES,4/09/2019,,,226,,,3166
JUEVES,5/09/2019,,,259,,,3722
VIERNES,6/09/2019,,,244,,,3729
SÁBADO,7/09/2019,,,317,,,5811
DOMINGO,8/09/2019,,,202,,,3622
LUNES,9/09/2019,,,191,,,2537
MARTES,10/09/2019,,,204,,,2789
MIÉRCOLES,11/09/2019,,,323,,,4985
JUEVES,12/09/2019,,,266,,,3893
VIERNES,13/09/2019,,,239,,,3496
SÁBADO,14/09/2019,,,289,,,5317
DOMINGO,15/09/2019,,,165,,,3223
LUNES,16/09/2019,,,225,,,3195
MARTES,17/09/2019,,,188,,,2614
MIÉRCOLES,18/09/2019,,,212,,,2755
JUEVES,19/09/2019,,,238,,,3449
VIERNES,20/09/2019,,,287,,,4770
SÁBADO,21/09/2019,,,406,,,7986
DOMINGO,22/09/2019,,,245,,,4478
LUNES,23/09/2019,,,206,,,2753
MARTES,24/09/2019,,,245,,,3660
MIÉRCOLES,25/09/2019,,,239,,,3255
JUEVES,26/09/2019,,,288,,,"4007,85"
VIERNES,27/09/2019,,,375,,,"5388,65"
SÁBADO,28/09/2019,,,390,,,"7374,52"
DOMINGO,29/09/2019,,,324,,,"6608,77"
LUNES,30/09/2019,,,216,,,"2982,94"
MARTES,1/10/2019,,,183,,,2583
