DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
LUNES,25/11/2019,,,293
MARTES,26/11/2019,,,203
MIÉRCOLES,27/11/2019,,,301
JUEVES,28/11/2019,,,344
VIERNES,29/11/2019,,,491
SÁBADO,30/11/2019,,,523
DOMINGO,1/12/2019,,,268
LUNES,2/12/2019,,,324
MARTES,3/12/2019,,,294
MIÉRCOLES,4/12/2019,,,240
JUEVES,5/12/2019,,,311
VIERNES,6/12/2019,,,464
SÁBADO,7/12/2019,,,537
DOMINGO,8/12/2019,,,394
LUNES,9/12/2019,,,294
MARTES,10/12/2019,,,286
MIÉRCOLES,11/12/2019,,,291
JUEVES,12/12/2019,,,326
VIERNES,13/12/2019,,,420
SÁBADO,14/12/2019,,,518
DOMINGO,15/12/2019,,,306
LUNES,16/12/2019,,,250
MARTES,17/12/2019,,,293
MIÉRCOLES,18/12/2019,,,297
JUEVES,19/12/2019,,,236
VIERNES,20/12/2019,,,279
SÁBADO,21/12/2019,,,445
DOMINGO,22/12/2019,,,321
LUNES,23/12/2019,,,341
MARTES,24/12/2019,,,84
MIÉRCOLES,25/12/2019,,,0
JUEVES,26/12/2019,,,391
VIERNES,27/12/2019,,,492
SÁBADO,28/12/2019,,,461
DOMINGO,29/12/2019,,,402
LUNES,30/12/2019,,,412
MARTES,31/12/2019,,,112
SÁBADO,1/01/2022,32,55,87
DOMINGO,2/01/2022,102,37,139
LUNES,3/01/2022,124,0,124
MARTES,4/01/2022,117,0,117
MIÉRCOLES,5/01/2022,98,19,117
JUEVES,6/01/2022,66,31,97
VIERNES,7/01/2022,122,44,166
SÁBADO,8/01/2022,105,80,185
DOMINGO,9/01/2022,62,18,80
LUNES,10/01/2022,71,0,71
MARTES,11/01/2022,87,0,87
MIÉRCOLES,12/01/2022,46,19,65
JUEVES,13/01/2022,64,18,82
VIERNES,14/01/2022,45,44,89
SÁBADO,15/01/2022,92,72,164
DOMINGO,16/01/2022,72,26,98
LUNES,17/01/2022,82,0,82
MARTES,18/01/2022,76,0,76
MIÉRCOLES,19/01/2022,71,39,110
JUEVES,20/01/2022,73,41,114
VIERNES,21/01/2022,88,85,173
SÁBADO,22/01/2022,117,79,196
DOMINGO,23/01/2022,87,16,103
LUNES,24/01/2022,71,0,71
MARTES,25/01/2022,82,0,82
MIÉRCOLES,26/01/2022,88,11,99
JUEVES,27/01/2022,94,21,115
VIERNES,28/01/2022,99,59,158
SÁBADO,29/01/2022,109,75,184
DOMINGO,30/01/2022,89,28,117
LUNES,31/01/2022,73,0,73
MARTES,1/02/2022,90,0,90
MIÉRCOLES,2/02/2022,71,26,97
JUEVES,3/02/2022,68,18,86
VIERNES,4/02/2022,74,70,144
SÁBADO,5/02/2022,103,86,189
DOMINGO,6/02/2022,85,27,112
LUNES,7/02/2022,100,0,100
MARTES,8/02/2022,82,0,82
MIÉRCOLES,9/02/2022,83,24,107
JUEVES,10/02/2022,98,29,127
VIERNES,11/02/2022,77,51,128
SÁBADO,12/02/2022,93,83,176
DOMINGO,13/02/2022,90,33,123
LUNES,14/02/2022,111,44,155
MARTES,15/02/2022,104,0,104
MIÉRCOLES,16/02/2022,97,11,108
JUEVES,17/02/2022,101,25,126
VIERNES,18/02/2022,90,70,160
SÁBADO,19/02/2022,109,72,181
DOMINGO,20/02/2022,92,0,92
LUNES,21/02/2022,85,0,85
MARTES,22/02/2022,89,0,89
MIÉRCOLES,23/02/2022,101,25,126
JUEVES,24/02/2022,110,18,128
VIERNES,25/02/2022,110,76,186
SÁBADO,26/02/2022,112,94,206
DOMINGO,27/02/2022,97,48,145
LUNES,28/02/2022,113,0,113
MARTES,1/03/2022,130,0,130
MIÉRCOLES,2/03/2022,82,19,101
JUEVES,3/03/2022,129,17,146
VIERNES,4/03/2022,121,86,207
SÁBADO,5/03/2022,120,91,211
DOMINGO,6/03/2022,131,21,152
LUNES,7/03/2022,84,0,84
MARTES,8/03/2022,115,0,115
MIÉRCOLES,9/03/2022,134,0,134
JUEVES,10/03/2022,118,36,154
VIERNES,11/03/2022,134,70,204
SÁBADO,12/03/2022,132,98,230
DOMINGO,13/03/2022,110,28,138
LUNES,14/03/2022,83,0,83
MARTES,15/03/2022,113,0,113
MIÉRCOLES,16/03/2022,112,27,139
JUEVES,17/03/2022,113,46,159
VIERNES,18/03/2022,102,84,186
SÁBADO,19/03/2022,130,112,242
DOMINGO,20/03/2022,114,14,128
